gauge_id,gauge_name,space_remaining,opt_param_plausible,sigma_MD,sigma_obs,camels_uncert,cut_off,theta_1,theta_2,theta_3,theta_4,PCA_emulator,PCA_var_accounted,x1_opt,x2_opt,x3_opt,x4_opt,opt_NSE,opt_log_NSE,opt_normalised_NSE,opt_L1_NSE,opt_corr,opt_bias,opt_RMSD,opt_KGE,x1_most_nonimp,x2_most_nonimp,x3_most_nonimp,x4_most_nonimp,main_effect_x1,main_effect_x2,main_effect_x3,main_effect_x4,total_effect_x1,total_effect_x2,total_effect_x3,total_effect_x4,D_CI_em1,D_CI_em2,D_CI_em3,D_CI_em4,D_DI_em1,D_DI_em2,D_DI_em3,D_DI_em4,obs_missing,start_date,end_date,river,area
30014,Pointon Lode at Pointon,0.0713,FALSE,0.08619,0.1686,FALSE,2,0.3,0.2,0.3,0.3,TRUE,95.869,278.538,0.10406,14.30022,1.17423,0.74447,NaN,0.79646,0.56425,0.87166,0.08619,0.52799,0.71093,91.20939,2.02645,137.3061,1.32318,0.15158,0.57727,0.0087128,0.00017462,0.18359,0.81699,0.20542,0.046726,0.954,0.85,0.838,0.918,485.09,1213.7,1470.6,904.19,0.1,1990-01-01,1999-12-31,River Pointon Lode,10.93
30015,Cringle Brook at Stoke Rochford,89.82787,TRUE,0.00104,0.1686,FALSE,2,0.3,0.2,0.3,0.3,TRUE,97.061,211.5213,-4.2474,375.4622,1.50323,0.94157,0.92752,0.94481,0.79058,0.97068,0.00104,0.11132,0.93792,260.118,-2.06335,333.6163,2.55012,0.11704,0.621,0.0069989,0.0001614,0.14373,0.85812,0.2057,0.0421,0.956,0.774,0.816,0.944,708.69,2247.5,4257.9,2488.8,0.1,1990-01-01,1999-12-31,River Cringle Brook,41.27
3003,Oykel at Easter Turnaig,0.09101,FALSE,0.03596,0.33221,TRUE,2,0.3,0.2,0.3,0.3,TRUE,92.117,1.13967,-1.52578,37.0578,1.10923,0.78579,0.89125,0.82358,0.64193,0.88726,-0.03596,2.77903,0.85448,18.82,-3.37208,19.52,0.996,0.00053457,0.82426,0.0053301,0.0001076,0.0049945,0.9954,0.16303,0.012391,0.706,0.678,0.652,0.7,2119.4,2119.1,2481.7,1948,0,1990-01-01,1999-12-31,River Oykel,331.67
31002,Glen at Kates Br & King St Br,88.16573,TRUE,0.07339,0.03207,TRUE,2,0.3,0.2,0.3,0.3,TRUE,97.106,311.0644,-2.79041,31.18696,1.57357,0.85061,NaN,0.86955,0.62533,0.92462,0.07339,0.17624,0.83633,211.8584,-3.86286,68.59755,2.87731,0.13052,0.60017,0.0080136,0.00016971,0.16027,0.84095,0.20757,0.04539,0.784,0.844,0.894,0.846,2183,1532.3,1241.3,1780.9,2.4,1990-01-01,1999-12-31,River Glen,337.88
31006,Gwash at Belmesthorpe,90.62699,TRUE,0.04016,0.03075,TRUE,2,0.3,0.2,0.3,0.3,TRUE,97.234,182.3323,-25.55219,768.9862,1.98044,0.85444,0.6458,0.87175,0.63816,0.932,-0.04016,0.08815,0.91389,815.1033,-4.35363,166.7526,1.65037,0.10714,0.62596,0.0072925,0.00016494,0.13456,0.86738,0.20957,0.043747,0.788,0.926,0.806,0.906,1928.2,916.38,1399.5,1039.6,1.9,1990-01-01,1999-12-31,River Gwash,149.17
31010,Chater at Fosters Bridge,12.41451,TRUE,0.00637,0.0629,TRUE,2,0.3,0.2,0.3,0.3,TRUE,96.424,232.7582,-0.29408,20.90524,1.32958,0.8655,0.64163,0.88372,0.6755,0.93066,-0.00637,0.33419,0.88286,42.9498,0.88131,117.6751,1.0778,0.10488,0.63101,0.0070056,0.00016188,0.1315,0.87055,0.20836,0.042491,0.97,0.898,0.846,0.852,540.92,1054.4,1226.2,1804.9,0.2,1990-01-01,1999-12-31,River Chater,68.81
31021,Welland at Ashley,30.11931,TRUE,0.16336,0.05629,TRUE,2,0.3,0.2,0.3,0.3,TRUE,96.822,210.1775,-0.68407,18.47318,1.51738,0.71571,0.79832,0.85131,0.60458,0.85673,0.16336,0.42044,0.77803,18.82,-2.88131,176.5682,1.48678,0.096193,0.63761,0.0070256,0.00016236,0.12259,0.8797,0.21072,0.043169,0.956,0.918,0.866,0.87,640.33,792.81,1098,1447.3,1,1990-01-01,1999-12-31,River Welland,247.08
31023,West Glen at Easton Wood,0.00283,FALSE,0.19939,0.1686,FALSE,2,0.3,0.2,0.3,0.3,TRUE,95.365,192.4716,-0.53766,7.04089,1.1586,0.7336,NaN,0.78964,0.5493,0.86378,0.19939,0.6458,0.66847,18.82,1.0449,19.52,1.0778,0.12248,0.61418,0.0072529,0.00016267,0.15,0.85158,0.20567,0.04264,0.954,0.936,0.904,0.886,503.37,802.7,928.25,1269.8,0,1990-01-01,1999-12-31,River West Glen,4.32
31025,Gwash South Arm at Manton,0,FALSE,0.12924,0.10748,TRUE,2,0.3,0.2,0.3,0.3,TRUE,95.74,157.5905,-0.24231,11.47304,1.18318,0.78369,0.82411,0.82584,0.61777,0.89241,0.12924,0.6541,0.73435,18.82,1.86286,98.04408,0.996,0.090825,0.64772,0.0064265,0.00015728,0.1159,0.88669,0.20873,0.041031,0.964,0.786,0.918,0.748,488.12,1544.3,1305.9,2165.6,0,1990-01-01,1999-12-31,River Gwash South Arm,23.68
32003,Harpers Brook at Old Mill Bridge,0.01866,FALSE,0.01892,0.04388,TRUE,2,0.3,0.2,0.3,0.3,TRUE,95.327,184.9342,-0.46534,13.19714,1.24174,0.75634,0.34717,0.806,0.58106,0.8793,0.01892,0.60923,0.72156,18.82,1.37208,88.22857,0.996,0.11736,0.61708,0.007413,0.00016569,0.14533,0.85626,0.20739,0.04348,0.954,0.918,0.926,0.75,463.85,824.95,1098.8,2229.8,1.2,1990-01-01,1999-12-31,River Harpers Brook,70.46
32004,Ise Brook at Harrowden,35.99493,TRUE,0.03465,0.04918,TRUE,2,0.3,0.2,0.3,0.3,TRUE,96.638,262.4341,-0.50984,27.38513,1.41742,0.89839,0.78346,0.90776,0.70712,0.94844,0.03465,0.2503,0.90198,18.82,-2.88131,196.1992,1.40498,0.10251,0.63241,0.0070913,0.00016359,0.129,0.87306,0.20935,0.042991,0.95,0.908,0.832,0.758,514.42,850.86,1481.3,2356.6,0,1990-01-01,1999-12-31,River Ise Brook,194.36
32006,Nene/Kislingbury at Upton Total,65.874,TRUE,0.03224,0.04,TRUE,2,0.3,0.2,0.3,0.3,TRUE,96.605,262.4341,-0.75858,54.59815,1.24174,0.77037,0.69823,0.81326,0.63288,0.87892,0.03224,0.33754,0.85011,18.82,-2.88131,215.8302,1.24139,0.10487,0.63105,0.0070044,0.00016138,0.13108,0.871,0.20871,0.042704,0.96,0.908,0.846,0.918,499.3,907.48,1840.4,946.75,0,1990-01-01,1999-12-31,River Nene/Kislingbury,220.69
32008,Nene/Kislingbury at Dodford,45.78317,TRUE,0.02615,0.04456,TRUE,2,0.3,0.2,0.3,0.3,TRUE,96.649,289.4533,-0.47779,29.299,1.21565,0.81371,0.65969,0.84696,0.65156,0.90337,0.02615,0.31407,0.88728,18.82,-2.88131,186.3837,1.40498,0.1047,0.62917,0.0072161,0.00016393,0.13149,0.87047,0.20976,0.043442,0.762,0.898,0.814,0.792,2016.9,807.44,1549.2,2029.7,0.1,1990-01-01,1999-12-31,River Nene/Kislingbury,104.26
33006,Wissey at Northwold Total,95.35443,TRUE,0.02163,0.05818,TRUE,2,0.3,0.2,0.3,0.3,TRUE,97.112,558.0505,-0.72318,149.5649,2.72304,0.89278,0.89406,0.90316,0.72133,0.94678,-0.02163,0.14034,0.94255,380.7669,-4.84441,363.0629,3.28629,0.13053,0.60527,0.0080033,0.00016627,0.15828,0.84237,0.2056,0.043051,0.942,0.836,0.802,0.914,467.44,1196.4,1429.5,934.95,0,1990-01-01,1999-12-31,River Wissey,259.37
33007,Nar at Marham,90.69768,TRUE,0.03036,0.1686,FALSE,2,0.3,0.2,0.3,0.3,TRUE,96.888,820.5706,-1.62088,301.8711,2.04204,0.90049,0.86841,0.90948,0.68461,0.95258,-0.03036,0.11384,0.93947,670.3245,-3.0449,431.7714,2.30473,0.11434,0.62518,0.0072531,0.00016096,0.13985,0.86152,0.20571,0.041347,0.938,0.9,0.816,0.808,466.34,874.15,1591.1,1733.3,0.1,1990-01-01,1999-12-31,River Nar,147.39
